Date,IT Department,Cost Element,Country,Actual
1/09/2020,Administration,Employee Performance,USA,159
1/09/2020,Administration,External Labor,United Kingdom,487
1/09/2020,Administration,External Labor,USA,808
1/09/2020,Administration,Internal Labor,Germany,"2,074"
1/09/2020,Administration,Internal Labor,Italy,"3,694"
1/09/2020,Administration,Internal Labor,United Kingdom,"23,168"
1/09/2020,Administration,Internal Labor,USA,"90,921"
1/09/2020,Administration,Legal,USA,195
1/09/2020,Administration,Moving,USA,"2,265"
1/09/2020,Administration,Other,USA,"6,908"
1/09/2020,Administration,Outbound Allocations,United Kingdom,725
1/09/2020,Administration,Severance,Italy,311
1/09/2020,Administration,Software,USA,"20,310"
1/09/2020,Administration,Software Maintenance,USA,867
1/09/2020,Administration,Supplies,USA,160
1/09/2020,Administration,Telecomm,Italy,77
1/09/2020,Administration,Telecomm,USA,443
1/09/2020,Administration,Training,USA,473
1/09/2020,Administration,Travel,USA,"6,012"
1/09/2020,Architecture,Depreciation,USA,693
1/09/2020,Architecture,Employee Performance,USA,11
1/09/2020,Architecture,External Labor,USA,"2,873"
1/09/2020,Architecture,Hardware,USA,862
1/09/2020,Architecture,Internal Labor,USA,"39,391"
1/09/2020,Architecture,Other,USA,463
1/09/2020,Architecture,Software,USA,11
1/09/2020,Architecture,Software Maintenance,USA,8
1/09/2020,Architecture,Supplies,USA,3
1/09/2020,Architecture,Taxes,USA,44
1/09/2020,Architecture,Telecomm,USA,301
1/09/2020,Architecture,Training,USA,105
1/09/2020,Architecture,Travel,USA,20
1/09/2020,Business Intelligence,Employee Performance,USA,175
1/09/2020,Business Intelligence,External Labor,USA,"16,451"
1/09/2020,Business Intelligence,Hardware,USA,"1,487"
1/09/2020,Business Intelligence,Hardware Maintenance,USA,91
1/09/2020,Business Intelligence,Internal Labor,USA,"57,810"
1/09/2020,Business Intelligence,Other,USA,37
1/09/2020,Business Intelligence,Software,USA,"2,801"
1/09/2020,Business Intelligence,Software Maintenance,USA,57
1/09/2020,Business Intelligence,Supplies,USA,84
1/09/2020,Business Intelligence,Telecomm,USA,258
1/09/2020,Business Intelligence,Travel,USA,513
1/09/2020,Core,External Labor,USA,"68,662"
1/09/2020,Core,Internal Labor,USA,"19,694"
1/09/2020,Core,Telecomm,USA,179
1/09/2020,Core Infrastructure,Amortization,Mexico,"1,291"
1/09/2020,Core Infrastructure,Depreciation,Brazil,"12,416"
1/09/2020,Core Infrastructure,Depreciation,Canada,"8,546"
1/09/2020,Core Infrastructure,Depreciation,Mexico,"3,483"
1/09/2020,Core Infrastructure,Depreciation,New Zealand,"9,598"
1/09/2020,Core Infrastructure,Depreciation,USA,378
1/09/2020,Core Infrastructure,External Labor,Brazil,"3,502"
1/09/2020,Core Infrastructure,External Labor,Canada,"26,267"
1/09/2020,Core Infrastructure,External Labor,Mexico,"19,101"
1/09/2020,Core Infrastructure,External Labor,New Zealand,"81,307"
1/09/2020,Core Infrastructure,External Labor,USA,"1,031,225"
1/09/2020,Core Infrastructure,Hardware,Brazil,"1,468"
1/09/2020,Core Infrastructure,Hardware,Mexico,"68,207"
1/09/2020,Core Infrastructure,Hardware,New Zealand,"-31,365"
1/09/2020,Core Infrastructure,Hardware,USA,"2,358"
1/09/2020,Core Infrastructure,Hardware Maintenance,Brazil,"1,703"
1/09/2020,Core Infrastructure,Hardware Maintenance,Canada,"2,135"
1/09/2020,Core Infrastructure,Hardware Maintenance,Mexico,986
1/09/2020,Core Infrastructure,Hardware Maintenance,USA,"11,668"
1/09/2020,Core Infrastructure,Inbound Allocations,New Zealand,"11,070"
1/09/2020,Core Infrastructure,Inbound Allocations,South Africa,"2,245"
1/09/2020,Core Infrastructure,Internal Labor,Brazil,"9,579"
1/09/2020,Core Infrastructure,Internal Labor,Mexico,"2,735"
1/09/2020,Core Infrastructure,Internal Labor,New Zealand,"35,419"
1/09/2020,Core Infrastructure,Internal Labor,Switzerland,"4,522"
1/09/2020,Core Infrastructure,Internal Labor,USA,"39,146"
1/09/2020,Core Infrastructure,Moving,USA,"3,433"
1/09/2020,Core Infrastructure,Other,Brazil,"3,198"
1/09/2020,Core Infrastructure,Other,Canada,19
1/09/2020,Core Infrastructure,Other,Mexico,"6,273"
1/09/2020,Core Infrastructure,Other,New Zealand,"-45,166"
1/09/2020,Core Infrastructure,Other,South Africa,26
1/09/2020,Core Infrastructure,Other,USA,179
1/09/2020,Core Infrastructure,Recognition,Brazil,189
1/09/2020,Core Infrastructure,Severance,Brazil,489
1/09/2020,Core Infrastructure,Software,USA,"58,613"
1/09/2020,Core Infrastructure,Supplies,Brazil,90
1/09/2020,Core Infrastructure,Supplies,Canada,"8,449"
1/09/2020,Core Infrastructure,Supplies,New Zealand,323
1/09/2020,Core Infrastructure,Supplies,Switzerland,186
1/09/2020,Core Infrastructure,Supplies,USA,709
1/09/2020,Core Infrastructure,Taxes,USA,9
1/09/2020,Core Infrastructure,Telecomm,Brazil,"2,462"
1/09/2020,Core Infrastructure,Telecomm,Canada,"2,406"
1/09/2020,Core Infrastructure,Telecomm,Mexico,"1,985"
1/09/2020,Core Infrastructure,Telecomm,New Zealand,"41,141"
1/09/2020,Core Infrastructure,Telecomm,Switzerland,7
1/09/2020,Core Infrastructure,Telecomm,USA,737
1/09/2020,Core Infrastructure,Training,New Zealand,616
1/09/2020,Core Infrastructure,Travel,Brazil,"1,015"
1/09/2020,Core Infrastructure,Travel,Canada,515
1/09/2020,Core Infrastructure,Travel,New Zealand,"6,162"
1/09/2020,Core Infrastructure,Travel,USA,166
1/09/2020,Core Infrastructure,Vehicles,Mexico,25
1/09/2020,Core Infrastructure,Vehicles,New Zealand,55
1/09/2020,Data Centers,Amortization,USA,176
1/09/2020,Data Centers,Depreciation,Ireland,645
1/09/2020,Data Centers,Depreciation,United Kingdom,"19,382"
1/09/2020,Data Centers,Depreciation,USA,"229,733"
1/09/2020,Data Centers,Employee Performance,USA,437
1/09/2020,Data Centers,External Labor,Germany,"3,326"
1/09/2020,Data Centers,External Labor,United Kingdom,"96,057"
1/09/2020,Data Centers,External Labor,USA,"324,441"
1/09/2020,Data Centers,Hardware,United Kingdom,"54,154"
1/09/2020,Data Centers,Hardware,USA,"-142,172"
1/09/2020,Data Centers,Hardware Maintenance,United Kingdom,"-14,323"
1/09/2020,Data Centers,Hardware Maintenance,USA,"53,350"
1/09/2020,Data Centers,Internal Labor,Austria,"4,100"
1/09/2020,Data Centers,Internal Labor,Germany,"11,534"
1/09/2020,Data Centers,Internal Labor,Netherlands,"3,756"
1/09/2020,Data Centers,Internal Labor,Spain,"3,575"
1/09/2020,Data Centers,Internal Labor,United Kingdom,"14,673"
1/09/2020,Data Centers,Internal Labor,USA,"128,002"
1/09/2020,Data Centers,Other,Austria,21
1/09/2020,Data Centers,Other,Germany,22
1/09/2020,Data Centers,Other,Netherlands,6
1/09/2020,Data Centers,Other,Spain,56
1/09/2020,Data Centers,Other,United Kingdom,"2,726"
1/09/2020,Data Centers,Other,USA,116
1/09/2020,Data Centers,Project Expenses,United Kingdom,"11,212"
1/09/2020,Data Centers,Project Expenses,USA,"5,613"
1/09/2020,Data Centers,Recognition,Austria,44
1/09/2020,Data Centers,Severance,Austria,38
1/09/2020,Data Centers,Software,United Kingdom,"-1,106"
1/09/2020,Data Centers,Software,USA,"14,728"
1/09/2020,Data Centers,Software Maintenance,United Kingdom,"26,777"
1/09/2020,Data Centers,Software Maintenance,USA,"77,406"
1/09/2020,Data Centers,Supplies,USA,"1,243"
1/09/2020,Data Centers,Taxes,USA,"17,338"
1/09/2020,Data Centers,Telecomm,Austria,17
1/09/2020,Data Centers,Telecomm,United Kingdom,382
1/09/2020,Data Centers,Telecomm,USA,"1,171"
1/09/2020,Data Centers,Training,United Kingdom,384
1/09/2020,Data Centers,Training,USA,"1,725"
1/09/2020,Data Centers,Travel,Germany,110
1/09/2020,Data Centers,Travel,Netherlands,-13
1/09/2020,Data Centers,Travel,Spain,989
