Date,IT Department,Cost Element,Country,Actual
1/12/2020,Administration,Employee Performance,USA,"1,032"
1/12/2020,Administration,External Labor,USA,"-59,275"
1/12/2020,Administration,Hardware,USA,"1,234"
1/12/2020,Administration,Internal Labor,Germany,"1,916"
1/12/2020,Administration,Internal Labor,Italy,866
1/12/2020,Administration,Internal Labor,United Kingdom,"22,220"
1/12/2020,Administration,Internal Labor,USA,"90,118"
1/12/2020,Administration,Legal,USA,236
1/12/2020,Administration,Moving,USA,"4,179"
1/12/2020,Administration,Other,USA,"35,147"
1/12/2020,Administration,Outbound Allocations,United Kingdom,695
1/12/2020,Administration,Severance,Italy,77
1/12/2020,Administration,Software,USA,6
1/12/2020,Administration,Software Maintenance,USA,4
1/12/2020,Administration,Supplies,United Kingdom,31
1/12/2020,Administration,Supplies,USA,110
1/12/2020,Administration,Telecomm,Italy,-6
1/12/2020,Administration,Telecomm,USA,426
1/12/2020,Administration,Travel,USA,"3,753"
1/12/2020,Architecture,Depreciation,USA,693
1/12/2020,Architecture,Employee Performance,USA,342
1/12/2020,Architecture,External Labor,USA,"1,836"
1/12/2020,Architecture,Hardware,USA,5
1/12/2020,Architecture,Internal Labor,USA,"39,859"
1/12/2020,Architecture,Other,USA,"-1,627"
1/12/2020,Architecture,Software,USA,11
1/12/2020,Architecture,Software Maintenance,USA,8
1/12/2020,Architecture,Supplies,USA,"1,684"
1/12/2020,Architecture,Taxes,USA,44
1/12/2020,Architecture,Telecomm,USA,345
1/12/2020,Architecture,Travel,USA,49
1/12/2020,Business Intelligence,Employee Performance,USA,289
1/12/2020,Business Intelligence,External Labor,USA,"23,868"
1/12/2020,Business Intelligence,Hardware,USA,5
1/12/2020,Business Intelligence,Internal Labor,USA,"53,072"
1/12/2020,Business Intelligence,Other,USA,5
1/12/2020,Business Intelligence,Software,USA,"40,135"
1/12/2020,Business Intelligence,Software Maintenance,USA,57
1/12/2020,Business Intelligence,Supplies,USA,91
1/12/2020,Business Intelligence,Telecomm,USA,369
1/12/2020,Business Intelligence,Travel,USA,"1,860"
1/12/2020,Core,Employee Performance,USA,587
1/12/2020,Core,External Labor,USA,"21,601"
1/12/2020,Core,Internal Labor,USA,"26,874"
1/12/2020,Core,Supplies,USA,7
1/12/2020,Core,Telecomm,USA,452
1/12/2020,Core,Travel,USA,"1,200"
1/12/2020,Core Infrastructure,Amortization,Mexico,"1,447"
1/12/2020,Core Infrastructure,CAPEX,New Zealand,"3,960"
1/12/2020,Core Infrastructure,Depreciation,Brazil,"10,607"
1/12/2020,Core Infrastructure,Depreciation,Canada,"4,133"
1/12/2020,Core Infrastructure,Depreciation,Mexico,"8,474"
1/12/2020,Core Infrastructure,Depreciation,New Zealand,"7,206"
1/12/2020,Core Infrastructure,Depreciation,Russia,14
1/12/2020,Core Infrastructure,Depreciation,Switzerland,569
1/12/2020,Core Infrastructure,Depreciation,USA,"1,731"
1/12/2020,Core Infrastructure,Employee Performance,USA,757
1/12/2020,Core Infrastructure,External Labor,Brazil,"23,526"
1/12/2020,Core Infrastructure,External Labor,Canada,"20,455"
1/12/2020,Core Infrastructure,External Labor,Mexico,"2,929"
1/12/2020,Core Infrastructure,External Labor,New Zealand,"28,499"
1/12/2020,Core Infrastructure,External Labor,Switzerland,"12,636"
1/12/2020,Core Infrastructure,External Labor,USA,"1,876,415"
1/12/2020,Core Infrastructure,Hardware,Brazil,"1,191"
1/12/2020,Core Infrastructure,Hardware,Mexico,"27,594"
1/12/2020,Core Infrastructure,Hardware,New Zealand,"22,449"
1/12/2020,Core Infrastructure,Hardware,Switzerland,"71,931"
1/12/2020,Core Infrastructure,Hardware,USA,"2,151"
1/12/2020,Core Infrastructure,Hardware Maintenance,Brazil,"1,002"
1/12/2020,Core Infrastructure,Hardware Maintenance,Canada,"30,895"
1/12/2020,Core Infrastructure,Hardware Maintenance,Mexico,"3,780"
1/12/2020,Core Infrastructure,Inbound Allocations,New Zealand,"9,325"
1/12/2020,Core Infrastructure,Inbound Allocations,South Africa,"1,899"
1/12/2020,Core Infrastructure,Internal Labor,Brazil,"8,216"
1/12/2020,Core Infrastructure,Internal Labor,Mexico,"1,889"
1/12/2020,Core Infrastructure,Internal Labor,New Zealand,"38,052"
1/12/2020,Core Infrastructure,Internal Labor,Switzerland,"13,672"
1/12/2020,Core Infrastructure,Internal Labor,USA,"31,477"
1/12/2020,Core Infrastructure,Moving,USA,185
1/12/2020,Core Infrastructure,Other,Austria,"48,847"
1/12/2020,Core Infrastructure,Other,Brazil,"9,382"
1/12/2020,Core Infrastructure,Other,Mexico,"1,806"
1/12/2020,Core Infrastructure,Other,New Zealand,"-18,625"
1/12/2020,Core Infrastructure,Other,South Africa,"-31,036"
1/12/2020,Core Infrastructure,Other,Switzerland,165
1/12/2020,Core Infrastructure,Other,USA,52
1/12/2020,Core Infrastructure,Severance,Brazil,194
1/12/2020,Core Infrastructure,Severance,Mexico,-286
1/12/2020,Core Infrastructure,Severance,New Zealand,436
1/12/2020,Core Infrastructure,Software,Canada,137
1/12/2020,Core Infrastructure,Software,New Zealand,"1,895"
1/12/2020,Core Infrastructure,Software,USA,"-133,155"
1/12/2020,Core Infrastructure,Supplies,Brazil,"-2,636"
1/12/2020,Core Infrastructure,Supplies,Canada,"1,992"
1/12/2020,Core Infrastructure,Supplies,New Zealand,137
1/12/2020,Core Infrastructure,Supplies,USA,18
1/12/2020,Core Infrastructure,Taxes,Brazil,61
1/12/2020,Core Infrastructure,Taxes,USA,9
1/12/2020,Core Infrastructure,Telecomm,Brazil,"3,498"
1/12/2020,Core Infrastructure,Telecomm,Canada,"2,001"
1/12/2020,Core Infrastructure,Telecomm,Mexico,"1,808"
1/12/2020,Core Infrastructure,Telecomm,New Zealand,"16,730"
1/12/2020,Core Infrastructure,Telecomm,Switzerland,90
1/12/2020,Core Infrastructure,Telecomm,USA,417
1/12/2020,Core Infrastructure,Training,Mexico,77
1/12/2020,Core Infrastructure,Training,New Zealand,377
1/12/2020,Core Infrastructure,Training,USA,30
1/12/2020,Core Infrastructure,Travel,Brazil,230
1/12/2020,Core Infrastructure,Travel,Canada,93
1/12/2020,Core Infrastructure,Travel,Mexico,5
1/12/2020,Core Infrastructure,Travel,New Zealand,"11,641"
1/12/2020,Core Infrastructure,Travel,USA,"2,518"
1/12/2020,Core Infrastructure,Vehicles,Mexico,18
1/12/2020,Core Infrastructure,Vehicles,New Zealand,52
1/12/2020,Core Infrastructure,Vehicles,Switzerland,401
1/12/2020,Data Centers,Amortization,USA,176
1/12/2020,Data Centers,CAPEX,USA,15
1/12/2020,Data Centers,Depreciation,Ireland,596
1/12/2020,Data Centers,Depreciation,United Kingdom,"25,138"
1/12/2020,Data Centers,Depreciation,USA,"253,528"
1/12/2020,Data Centers,Employee Performance,USA,"2,809"
1/12/2020,Data Centers,External Labor,Germany,"6,000"
1/12/2020,Data Centers,External Labor,United Kingdom,"120,488"
1/12/2020,Data Centers,External Labor,USA,"397,285"
1/12/2020,Data Centers,Hardware,United Kingdom,"10,316"
1/12/2020,Data Centers,Hardware,USA,"141,501"
1/12/2020,Data Centers,Hardware Maintenance,United Kingdom,"10,948"
1/12/2020,Data Centers,Hardware Maintenance,USA,"130,210"
1/12/2020,Data Centers,Internal Labor,Austria,"3,937"
1/12/2020,Data Centers,Internal Labor,Germany,"8,588"
1/12/2020,Data Centers,Internal Labor,Netherlands,"3,006"
1/12/2020,Data Centers,Internal Labor,United Kingdom,"16,441"
1/12/2020,Data Centers,Internal Labor,USA,"129,020"
