Date,IT Department,Cost Element,Country,Actual
1/11/2020,Administration,Employee Performance,USA,551
1/11/2020,Administration,External Labor,USA,"44,790"
1/11/2020,Administration,Hardware,USA,30
1/11/2020,Administration,Internal Labor,Germany,"2,037"
1/11/2020,Administration,Internal Labor,Italy,105
1/11/2020,Administration,Internal Labor,United Kingdom,"22,382"
1/11/2020,Administration,Internal Labor,USA,"98,699"
1/11/2020,Administration,Legal,USA,"1,244"
1/11/2020,Administration,Moving,USA,"2,653"
1/11/2020,Administration,Other,USA,"16,248"
1/11/2020,Administration,Outbound Allocations,United Kingdom,719
1/11/2020,Administration,Severance,Italy,49
1/11/2020,Administration,Software,USA,6
1/11/2020,Administration,Software Maintenance,USA,4
1/11/2020,Administration,Supplies,USA,46
1/11/2020,Administration,Telecomm,Italy,97
1/11/2020,Administration,Telecomm,USA,"1,057"
1/11/2020,Administration,Travel,USA,"14,253"
1/11/2020,Architecture,Depreciation,USA,693
1/11/2020,Architecture,Employee Performance,USA,979
1/11/2020,Architecture,External Labor,USA,425
1/11/2020,Architecture,Hardware Maintenance,USA,16
1/11/2020,Architecture,Internal Labor,USA,"43,526"
1/11/2020,Architecture,Other,USA,"-1,627"
1/11/2020,Architecture,Software,USA,11
1/11/2020,Architecture,Software Maintenance,USA,8
1/11/2020,Architecture,Supplies,USA,9
1/11/2020,Architecture,Taxes,USA,44
1/11/2020,Architecture,Telecomm,USA,289
1/11/2020,Architecture,Travel,USA,139
1/11/2020,Business Intelligence,Employee Performance,USA,146
1/11/2020,Business Intelligence,External Labor,USA,"20,734"
1/11/2020,Business Intelligence,Hardware,USA,26
1/11/2020,Business Intelligence,Internal Labor,USA,"52,862"
1/11/2020,Business Intelligence,Other,USA,8
1/11/2020,Business Intelligence,Software,USA,79
1/11/2020,Business Intelligence,Software Maintenance,USA,57
1/11/2020,Business Intelligence,Supplies,USA,20
1/11/2020,Business Intelligence,Telecomm,USA,343
1/11/2020,Core,Employee Performance,USA,73
1/11/2020,Core,External Labor,USA,"61,859"
1/11/2020,Core,Hardware,USA,215
1/11/2020,Core,Internal Labor,USA,"26,707"
1/11/2020,Core,Other,USA,236
1/11/2020,Core,Telecomm,USA,275
1/11/2020,Core,Travel,USA,"2,841"
1/11/2020,Core Infrastructure,Amortization,Mexico,"1,228"
1/11/2020,Core Infrastructure,Depreciation,Brazil,"11,642"
1/11/2020,Core Infrastructure,Depreciation,Canada,"4,969"
1/11/2020,Core Infrastructure,Depreciation,Mexico,"3,312"
